radius,A_amplitude,g_H2C_norm,g_Newton_norm,Ratio_H2C_Newton
0.1,0.9995666802854182,-41.16035915363239,2684.9316951270293,-0.01533013269139609
0.6081632653061224,0.9994725053288307,-36.47782379022485,72.59268726633934,-0.5024999784949321
1.116326530612245,0.999399754089699,-26.984231587606132,21.545210872667592,-1.2524468545275889
1.6244897959183673,0.9993490316801363,-28.087555308831227,10.174176472816342,-2.760671134796646
2.13265306122449,0.999271244720958,-37.42600418544233,5.903272360980745,-6.339874208213651
2.6408163265306124,0.9991778073546044,-37.145521164301904,3.8499656003573732,-9.648273522457933
3.1489795918367345,0.9991013139553268,-28.960039233166288,2.7076563864402994,-10.695610926923951
3.657142857142857,0.99904533263544,-23.378613752355015,2.007471512775032,-11.645801000701397
4.165306122448979,0.9989943785420099,-23.131552866624997,1.5475311239626848,-14.947391046580826
4.673469387755102,0.9989395336366891,-11.892231147869772,1.2292902499952327,-9.674062856933821
5.181632653061224,0.9989399856688294,1.0,1.0,1.0
5.689795918367347,0.9989441072180569,2.607152571086113,0.8293538458529998,3.1435949614541516
6.197959183673468,0.9989519097425859,3.6124893245801224,0.6989334374456884,5.168574188956064
6.706122448979591,0.9989606293836176,3.7788743734099843,0.5970219292900144,6.329540320074787
7.2142857142857135,0.998969193022987,3.634530914079459,0.5158774749974493,7.045337488513972
7.722448979591836,0.998977252623059,3.3948287815205713,0.45021830261164175,7.540405980449334
8.230612244897959,0.9989847200616478,3.136590057357491,0.3963409606919458,7.913868028884836
8.73877551020408,0.9989915986541646,2.886790845425926,0.3515864068024454,8.210757838109478
9.246938775510204,0.9989979236608203,2.6545796610734156,0.3140055161332259,8.453926841040376
9.755102040816325,0.9990037402436294,2.442402424494834,0.2821432135291749,8.656605253566656
10.263265306122449,0.9990090948537674,2.250068484707548,0.25489547777394983,8.82741625845158
10.77142857142857,0.999014031784768,2.0763470149347993,0.23141240186947154,8.972496712194213
11.279591836734694,0.9990185918612325,1.9196386421908813,0.21103110479996723,9.096472503475134
11.787755102040816,0.9990228120639194,1.7782727821731212,0.19322843330123307,9.20295606496424
12.295918367346937,0.9990267255784688,1.650641486304472,0.17758705256452195,9.294830126789517
12.80408163265306,0.9990303620327627,1.5352570859863086,0.1637707632401492,9.374427129798788
13.312244897959182,0.999033747809377,1.4307726649446457,0.1515062834185544,9.443652320293301
13.820408163265306,0.999036906376644,1.3359840574180477,0.1405696303775422,9.504073204360424
14.328571428571427,0.9990398586102966,1.2498228279066212,0.1307758211519226,9.556987040094352
14.83673469387755,0.9990426230924648,1.1713451920110658,0.12197099875314311,9.603472989359949
15.344897959183672,0.9990452163826801,1.0997195212837227,0.11402635246284179,9.644433041406746
15.853061224489796,0.9990476532597481,1.0342138292438168,0.10683337977983562,9.680624458152923
16.36122448979592,0.9990499469355394,0.9741839489378209,0.10030016201850223,9.712685695942492
16.869387755102043,0.9990521092428047,0.9190627274472064,0.09434841308725381,9.74115724232959
17.377551020408163,0.9990541507995563,0.8683503476366589,0.08891112330180341,9.766498446871449
17.885714285714286,0.9990560811526275,0.821605771461248,0.08393066496878124,9.789101179727954
18.39387755102041,0.9990579089029261,0.7784392388999668,0.07935725913562307,9.809300968542768
18.902040816326533,0.9990596418146913,0.7385057276360216,0.07514772690552865,9.827386110619528
19.410204081632653,0.9990612869108378,0.7014992704469989,0.07126446652073923,9.843605161105781
19.918367346938776,0.999062850556227,0.667148027835459,0.06767461073972049,9.858173110168886
20.4265306122449,0.9990643385304766,0.6352100202026045,0.06434932908469097,9.871276503389748
20.93469387755102,0.9990657560917137,0.6054694316110633,0.06126324717777537,9.88307769345127
21.442857142857143,0.999067108032481,0.5777334078352069,0.05839396123713415,9.89371838449302
21.951020408163266,0.999068398728847,0.5518292811306882,0.05572163031874689,9.903322605136191
22.45918367346939,0.9990696321836201,0.5276021621450013,0.05322863239438682,9.911999208167504
22.96734693877551,0.9990708120644441,0.5049128472365733,0.05089927309458265,9.919843969054885
23.475510204081633,0.9990719417374433,0.4836359979462153,0.04871953809750796,9.926941363406597
23.983673469387757,0.9990730242969923,0.4636585551283369,0.046676881845872084,9.9333660860069
24.491836734693877,0.999074062592106,0.4448783538329486,0.0447600466258398,9.93918432551681
25.0,0.9990750592498765,0.43577564199946084,0.04295890712203248,10.144011363267738
